Organization,Short
International Cricket Council,ICC
Board of Control for Cricket in India,BCCI
United States of America Cricket Association,
USA Cricket,
ICC Americas,
Indian Premier League,IPL
Cricket Australia,CA
Australian Cricket Board,ACB
Haryana Cricket Association,
Tamil Nadu Cricket Association,
Afghanistan Cricket Board,
Bangladesh Cricket Board,
England  and Wales Cricket Board,ECB
Cricket Ireland,
New Zealand Cricket,
Pakistan Cricket Board,PCB
Cricket South Africa,CSA
Sri Lanka Cricket,SLC
Cricket West Indies,CWI
Zimbabwe Cricket,ZC
